pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-09-29,91.8,-1.58,5.95,"Ober, Bailey",676059,641927,strikeout,called_strike,,,,,14,Jordan Westburg called out on strikes.,R,R,R,MIN,BAL,S,2,,2,2,2024,-0.62,1.57,0.76,1.28,,,,2,5,Top,,,,,,,7.4136728680088995,-133.28354042500953,-9.559954369762933,-8.932848882812277,28.1715200935296,-11.504450731051096,3.53,1.65,,,,93.9,2383,7.6,745846,543877,467793,571657,668904,686797,668885,680577,622534,52.91,,0.0,0.0,1,0,0,,36,5,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,217,0.003,-0.219,,,,0.219,,-1,1,0.4035634681149967,0.5964365318850032,28,25,29,25,3,2,5,2,,2,1.14,0.62,0.62,38.0,,,,,
CH,2024-09-29,82.6,-1.68,5.92,"Ober, Bailey",676059,641927,,ball,,,,,14,Ball,R,R,R,MIN,BAL,B,,,1,2,2024,-1.33,0.75,0.36,1.12,,,,2,5,Top,,,,,,,7.367767349130676,-119.95162946263603,-5.956794384039394,-14.267266917386298,23.428201956084763,-23.944880232109995,3.67,1.74,,,,84.1,2084,7.4,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.08,,,,,,,,36,4,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,249,-0.008,0.039,,,,-0.039,,-1,1,0.4035634681149967,0.5964365318850032,28,25,29,25,3,2,5,2,,2,2.61,1.33,1.33,36.2,,,,,
FF,2024-09-29,90.6,-1.6,5.91,"Ober, Bailey",676059,641927,,foul,,,,,2,Foul,R,R,R,MIN,BAL,S,,,1,1,2024,-0.35,1.54,0.18,3.43,,,,2,5,Top,,,,,,,5.322818007970947,-131.8543532514647,-3.636976665697882,-5.158880401276155,26.78657433259889,-13.61959005090232,3.46,1.62,50,84.3,82,92.7,2268,7.4,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.06,,,,,,,,36,3,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,211,-0.008,-0.064,74.5,6.5,,0.064,88.0,-1,1,0.4035634681149967,0.5964365318850032,28,25,29,25,3,2,5,2,,2,1.23,0.35,0.35,37.2,15.4723286530944,-1.7462802545459637,20.58655582232628,41.48578859135954,32.42099181035715
ST,2024-09-29,77.1,-1.71,5.94,"Ober, Bailey",676059,641927,,ball,,,,,11,Ball,R,R,R,MIN,BAL,B,,,0,1,2024,1.2,-0.04,-2.17,3.32,,,,2,5,Top,,,,,,,-3.2180994720981504,-112.1989313863603,1.5230027529979178,10.68127451677547,20.2088959747002,-32.979990908676264,3.46,1.63,,,,78.5,1904,7.2,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.25,,,,,,,,36,2,Sweeper,2,3,3,2,3,2,3,2,Standard,Standard,59,-0.008,0.029,,,,-0.029,,-1,1,0.4035634681149967,0.5964365318850032,28,25,29,25,3,2,5,2,,2,3.87,-1.2,-1.2,35.8,,,,,
ST,2024-09-29,78.2,-1.6,5.9,"Ober, Bailey",676059,641927,,swinging_strike,,,,,14,Swinging Strike,R,R,R,MIN,BAL,S,,,0,0,2024,1.36,0.19,1.0,1.72,,,,2,5,Top,,,,,,,3.1509842173638734,-113.86311683532536,-2.507897737822269,11.243693670015103,21.612810108073077,-30.30972432857891,3.46,1.62,,,,79.8,2072,7.5,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.04,,,,,,,,36,1,Sweeper,2,3,3,2,3,2,3,2,Standard,Standard,58,-0.008,-0.041,69.7,7.6,,0.041,,-1,1,0.4035634681149967,0.5964365318850032,28,25,29,25,3,2,5,2,,2,3.55,-1.36,-1.36,36.2,18.784833903632908,-17.42358781630858,32.38180170454097,50.04790892679283,45.1433394452539
CH,2024-09-29,84.0,-1.82,6.01,"Ober, Bailey",683002,641927,field_out,hit_into_play,,,,,14,Gunnar Henderson pops out to shortstop Brooks Lee.,R,L,R,MIN,BAL,X,6,popup,0,1,2024,-1.52,0.74,0.02,1.25,,,,1,5,Top,108.38,144.17,,,,,7.412573350905852,-122.00672275455176,-6.1627162904544965,-16.629504881072798,24.566823741163063,-23.74745507363957,3.72,1.77,162,69.9,60,85.5,2274,7.4,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.09,0.011,0.01,0.0,1,0,0,3,35,2,Changeup,2,3,3,2,3,2,3,2,Infield shade,Standard,252,0.01,-0.219,75.5,8.3,0.011,0.219,88.0,-1,1,0.3857254489731511,0.6142745510268489,28,23,29,23,3,2,5,2,,2,2.51,1.52,-1.52,34.3,20.368425994111604,-7.860823771626856,39.74848204225999,34.13968459679888,44.27042509146811
CU,2024-09-29,76.6,-1.7,6.12,"Ober, Bailey",683002,641927,,swinging_strike,,,,,9,Swinging Strike,R,L,R,MIN,BAL,S,,,0,0,2024,0.82,-0.32,0.65,1.77,,,,1,5,Top,,,,,,,3.5588112675289643,-111.46810657442111,-1.5628602832636027,6.10469509207671,21.072066530034267,-34.72147395224643,3.72,1.77,,,,77.8,2087,7.2,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.27,,,,,,,,35,1,Curveball,2,3,3,2,3,2,3,2,Infield shade,Standard,45,-0.007,-0.037,78.3,8.4,,0.037,,-1,1,0.3857254489731511,0.6142745510268489,28,23,29,23,3,2,5,2,,2,4.22,-0.82,0.82,42.9,21.75517416277495,-38.40298232819387,34.363853585984494,28.946852631571364,61.91903539581179
CH,2024-09-29,82.5,-1.55,6.04,"Ober, Bailey",543510,641927,home_run,hit_into_play,,,,,4,James McCann homers (8) on a fly ball to left field. Ryan O'Hearn scores. Cedric Mullins scores.,R,R,R,MIN,BAL,X,,fly_ball,1,1,2024,-1.41,0.43,-0.37,2.17,656811,656775,,1,5,Top,41.81,69.55,,,,,5.547006898443444,-119.93174472647428,-3.103359828704213,-14.70695798967284,24.494756311990425,-27.667638412943443,3.37,1.51,381,105.3,24,83.9,1939,7.4,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.13,0.866,1.592,2.0,1,0,3,6,34,3,Changeup,2,0,0,2,3,2,3,2,Standard,Standard,247,-0.259,1.054,71.9,7.3,2.993,-1.054,105.3,2,-2,0.6383850127736879,0.3616149872263121,28,34,29,34,2,1,5,3,,2,2.95,1.41,1.41,36.5,14.70673046984933,-10.653137571143157,38.72293789673495,29.890820407886515,44.43178001642663
FF,2024-09-29,91.5,-1.59,5.86,"Ober, Bailey",543510,641927,,swinging_strike,,,,,6,Swinging Strike,R,R,R,MIN,BAL,S,,,1,0,2024,-0.6,1.61,0.41,2.64,656811,656775,,1,5,Top,,,,,,,6.470085984933628,-132.9483237303862,-5.7918848327111405,-8.59104398261566,30.01330409839885,-12.066745838884191,3.37,1.51,,,,93.2,2378,7.5,745846,543877,467793,571657,668904,686797,668885,680577,622534,52.98,,,,,,,,34,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,207,0.01,-0.062,72.3,6.6,,0.062,,2,-2,0.6383850127736879,0.3616149872263121,28,34,29,34,2,1,5,3,,2,1.13,0.6,0.6,36.1,6.137047402295893,10.249922790177871,38.91383653475386,40.16365963127016,30.463746919683512
FF,2024-09-29,90.2,-1.7,5.9,"Ober, Bailey",543510,641927,,ball,,,,,11,Ball,R,R,R,MIN,BAL,B,,,0,0,2024,-0.78,1.51,-0.12,3.7,656811,656775,,1,5,Top,,,,,,,5.688299363324364,-131.21430857624063,-2.728988748487931,-10.272630707505511,29.847046966302184,-14.41261650022628,3.39,1.54,,,,91.4,2394,7.2,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.31,,,,,,,,34,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,208,0.01,0.025,,,,-0.025,,2,-2,0.6383850127736879,0.3616149872263121,28,34,29,34,2,1,5,3,,2,1.31,0.78,0.78,40.2,,,,,
