pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2024-09-27,75.9,3.66,5.26,"Manaea, Sean",694192,640455,single,hit_into_play,,,,,6,"Mets challenged (play at 1st), call on the field was upheld: Jackson Chourio singles on a ground ball to second baseman Jose Iglesias. Brice Turang scores. Garrett Mitchell to 3rd.",R,R,L,MIL,NYM,X,4,ground_ball,2,1,2024,-1.33,-0.14,0.49,2.69,668930,669003,,2,4,Bot,152.79,151.91,,,,,-4.298266576407808,-110.45522213934966,1.9784021647592611,-10.137784046989331,19.37638345790707,-33.857450638071285,3.31,1.6,89,96.9,3,76.8,2206,6.9,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.63,0.477,0.429,0.9,1,1,0,4,38,4,Sweeper,5,2,5,2,2,6,6,2,Standard,Standard,295,0.056,0.72,67.2,7.0,0.518,-0.72,96.9,3,3,0.8634561936212272,0.8634561936212272,32,20,32,20,3,2,6,1,5,1,4.09,-1.33,1.33,22.0,8.83452548366022,17.024861801988393,23.60408817343586,43.49851176557087,23.35094066446809
ST,2024-09-27,77.0,3.49,5.2,"Manaea, Sean",694192,640455,,called_strike,,,,,8,Called Strike,R,R,L,MIL,NYM,S,,,2,0,2024,-1.06,-0.24,-0.01,1.68,668930,669003,,2,4,Bot,,,,,,,-5.581289888148842,-112.15109218250193,-0.1067781692434013,-8.06661748049554,18.878886300123213,-34.373830510887146,3.22,1.44,,,,78.1,2029,6.9,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.62,,,,,,,,38,3,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,296,0.009,-0.028,,,,0.028,,3,3,0.8634561936212272,0.8634561936212272,32,20,32,20,3,2,6,1,5,1,4.05,-1.06,1.06,16.4,,,,,
CH,2024-09-27,84.8,3.97,5.14,"Manaea, Sean",694192,640455,,ball,,,,,12,Ball,R,R,L,MIL,NYM,B,,,1,0,2024,1.06,0.01,2.61,2.95,668930,669003,,2,4,Bot,,,,,,,-5.39394485966574,-123.4069437725922,1.1584605973576532,11.923786604090846,22.326438992750603,-32.49856640141863,3.15,1.36,,,,86.4,1571,7.1,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.39,,,,,,,,38,2,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,108,0.009,0.014,,,,-0.014,,3,3,0.8634561936212272,0.8634561936212272,32,20,32,20,3,2,6,1,5,1,3.14,1.06,-1.06,13.0,,,,,
FF,2024-09-27,91.6,4.0,5.01,"Manaea, Sean",694192,640455,,ball,,,,,12,Ball,R,R,L,MIL,NYM,B,,,0,0,2024,0.79,0.83,1.82,4.2,668930,669003,,2,4,Bot,,,,,,,-7.309258324556284,-133.2205157342922,2.04498076972377,10.926403033078282,27.959866843919027,-22.87980198147826,3.26,1.47,,,,92.9,1869,7.1,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.45,,,,,,,,38,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,121,0.009,0.021,,,,-0.021,,3,3,0.8634561936212272,0.8634561936212272,32,20,32,20,3,2,6,1,5,1,1.88,0.79,-0.79,14.8,,,,,
FF,2024-09-27,91.5,3.97,4.99,"Manaea, Sean",669003,640455,double,hit_into_play,,,,,6,Garrett Mitchell doubles (12) on a ground ball to right fielder Jesse Winker. Brice Turang to 3rd.,R,L,L,MIL,NYM,X,9,ground_ball,1,0,2024,1.14,0.85,0.37,2.47,,,668930,2,4,Bot,186.8,134.11,,,,,-11.699043751044265,-132.81211568618613,-2.357695790348654,15.957598853924326,26.852996066432052,-21.76060652472833,3.49,1.6,4,85.1,-30,92.7,2036,7.0,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.46,0.054,0.076,1.25,1,1,1,2,37,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,130,0.025,0.831,85.3,7.9,0.059,-0.831,88.0,3,3,0.8473996846469917,0.8473996846469917,32,25,32,26,3,0,6,1,5,1,1.87,1.14,1.14,14.8,17.1887380786241,-5.119334602540114,32.368352261585926,31.859903292146,35.90479368139003
FF,2024-09-27,92.0,3.77,4.94,"Manaea, Sean",669003,640455,,ball,,,,,13,Ball,R,L,L,MIL,NYM,B,,,0,0,2024,1.14,0.54,-1.59,1.99,,,668930,2,4,Bot,,,,,,,-16.217078412811933,-133.0066549201359,-2.7995169272777254,16.881760701551677,27.02909808397252,-25.26856960885293,3.34,1.53,,,,93.1,1969,7.2,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.33,,,,,,,,37,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,115,0.01,0.034,,,,-0.034,,3,3,0.8473996846469917,0.8473996846469917,32,25,32,26,3,0,6,1,5,1,2.17,1.14,1.14,16.2,,,,,
ST,2024-09-27,78.4,3.84,5.17,"Manaea, Sean",668930,640455,single,hit_into_play,,,,,13,Brice Turang singles on a soft ground ball to third baseman Mark Vientos.,R,L,L,MIL,NYM,X,5,ground_ball,1,2,2024,-1.54,-0.11,-0.88,1.96,,,,2,4,Bot,118.41,180.77,,,,,-7.406223567027052,-114.03332939155268,0.1443550378860618,-12.076837103001443,20.976828102762287,-33.357646608346805,3.28,1.55,4,38.4,-23,79.1,2261,6.8,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.73,0.306,0.308,0.9,1,1,0,1,36,4,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,299,0.015,0.408,41.5,5.8,0.337,-0.408,88.0,3,3,0.8416750725781917,0.8416750725781917,32,24,32,25,3,2,6,1,5,2,3.82,-1.54,-1.54,20.4,-4.378163293928535,14.335140690219886,29.57387358872717,45.20870763668161,29.915927982417763
ST,2024-09-27,80.8,3.53,5.21,"Manaea, Sean",668930,640455,,ball,,,,,13,Ball,R,L,L,MIL,NYM,B,,,0,2,2024,-1.49,-0.23,-2.02,1.41,,,,2,4,Bot,,,,,,,-9.633277351895476,-117.38430344188404,-1.349784780899733,-11.866565741806845,22.78753385394843,-34.21311533974301,3.3,1.55,,,,81.5,2156,6.9,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.59,,,,,,,,36,3,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,296,0.009,0.023,,,,-0.023,,3,3,0.8416750725781917,0.8416750725781917,32,24,32,25,3,2,6,1,5,2,3.74,-1.49,-1.49,23.8,,,,,
FF,2024-09-27,93.1,3.78,4.98,"Manaea, Sean",668930,640455,,foul,,,,,2,Foul,R,L,L,MIL,NYM,S,,,0,1,2024,1.1,0.75,-0.19,2.77,,,,2,4,Bot,,,,,,,-12.784353555231998,-135.11261313907696,-1.564173766122234,16.200536576718015,28.0148655443348,-22.799242379915277,3.28,1.55,232,77.9,31,94.6,2118,7.2,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.31,,,,,,,,36,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,114,0.009,-0.058,59.2,5.7,,0.058,88.0,3,3,0.8416750725781917,0.8416750725781917,32,24,32,25,3,2,6,1,5,2,1.88,1.1,1.1,15.7,-5.623173931748802,29.463585643141798,34.41123006126336,38.31715562537041,15.414649094363698
FF,2024-09-27,92.3,3.81,4.97,"Manaea, Sean",668930,640455,,called_strike,,,,,1,Called Strike,R,L,L,MIL,NYM,S,,,0,0,2024,1.05,0.6,-0.43,2.8,,,,2,4,Bot,,,,,,,-13.248624105711064,-133.86021157049893,-0.978272968720851,15.449620999576254,27.99548005874076,-24.97015997267298,3.3,1.37,,,,93.5,2002,7.1,745930,682626,624413,578428,668901,596019,607043,621438,608385,53.41,,,,,,,,36,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,119,0.009,-0.041,,,,0.041,,3,3,0.8416750725781917,0.8416750725781917,32,24,32,25,3,2,6,1,5,2,2.09,1.05,1.05,17.2,,,,,
