pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2024-09-27,82.8,-1.4,5.34,"Singer, Brady",570482,663903,strikeout,swinging_strike,,,,,14,Gio Urshela strikes out swinging.,R,R,R,ATL,KC,S,2,,0,2,2024,0.61,0.04,1.59,0.9,624585,657656,,2,6,Bot,,,,,,,5.716413989027376,-120.52407101742796,-3.8491281055145423,5.025915821212514,21.02314279805101,-31.241489664764224,3.4,1.6,,,,84.2,2509,7.0,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.53,,0.0,0.0,1,0,0,,46,4,Slider,2,0,2,0,0,2,2,0,Standard,Standard,60,-0.025,-0.176,56.1,8.5,,0.176,,2,2,0.8487693626523432,0.8487693626523432,27,32,28,33,3,2,6,3,12,1,3.25,-0.61,-0.61,26.8,22.083932898737423,-6.061392886410559,35.76054673870707,52.94682301714074,40.8156044604979
ST,2024-09-27,84.3,-1.59,5.12,"Singer, Brady",570482,663903,,foul,,,,,14,Foul,R,R,R,ATL,KC,S,,,0,2,2024,0.59,0.37,0.89,2.34,624585,657656,,2,6,Bot,,,,,,,4.660718507967407,-122.73921740728052,-0.8771162385387827,5.145346284118286,22.214969533051573,-28.464442908533783,3.4,1.6,249,78.1,32,86.0,2425,7.2,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.35,,,,,,,,46,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,88,0.007,0.0,65.2,6.2,,0.0,88.0,2,2,0.8487693626523432,0.8487693626523432,27,32,28,33,3,2,6,3,12,1,2.81,-0.59,-0.59,18.2,-6.717881363140626,30.220547857572225,34.38095048765839,45.52605866337644,18.257963212035296
ST,2024-09-27,83.4,-1.54,5.17,"Singer, Brady",570482,663903,,foul,,,,,6,Foul,R,R,R,ATL,KC,S,,,0,1,2024,0.65,0.32,0.77,2.42,624585,657656,,2,6,Bot,,,,,,,4.065068556733957,-121.34647814074302,-0.475173884338228,5.564807564375244,25.457175717168106,-29.13935819752309,3.4,1.6,1,65.1,-59,84.2,2509,7.0,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.52,,,,,,,,46,2,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,77,0.007,-0.059,64.9,7.4,,0.059,88.0,2,2,0.8487693626523432,0.8487693626523432,27,32,28,33,3,2,6,3,12,1,2.97,-0.65,-0.65,21.4,15.269995530773224,1.5758485911563924,26.434141072089563,44.15558719877522,34.02363807653101
SI,2024-09-27,92.0,-1.48,5.27,"Singer, Brady",570482,663903,,called_strike,,,,,4,Called Strike,R,R,R,ATL,KC,S,,,0,0,2024,-0.95,0.72,-0.55,2.79,624585,657656,,2,6,Bot,,,,,,,4.503110625423681,-133.91028736281402,-2.02495066881952,-12.443845091668836,29.14145942371217,-23.336557953842508,3.37,1.63,,,,93.3,2338,7.1,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.44,,,,,,,,46,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,209,0.007,-0.046,,,,0.046,,2,2,0.8487693626523432,0.8487693626523432,27,32,28,33,3,2,6,3,12,1,1.98,0.95,0.95,26.1,,,,,
ST,2024-09-27,81.9,-1.47,5.16,"Singer, Brady",669221,663903,strikeout,swinging_strike,,,,,14,Sean Murphy strikes out swinging.,R,R,R,ATL,KC,S,2,,0,2,2024,0.93,0.35,1.59,1.49,624585,657656,,1,6,Bot,,,,,,,5.185195128700237,-119.2016376803714,-2.386545070542741,7.699829822374091,25.223288573418078,-28.55052831233852,3.44,1.6,,,,82.8,2474,7.1,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.38,,0.0,0.0,1,0,0,,45,3,Sweeper,2,0,2,0,0,2,2,0,Strategic,Standard,72,-0.039,-0.275,59.2,9.1,,0.275,,2,2,0.8950532470733753,0.8950532470733753,27,29,28,30,3,2,6,5,12,2,3.07,-0.93,-0.93,17.9,27.43025917920559,-21.98071107293395,31.41065890478445,57.94668855764544,45.731011014441705
SI,2024-09-27,92.4,-1.44,5.21,"Singer, Brady",669221,663903,,foul,,,,,8,Foul,R,R,R,ATL,KC,S,,,0,1,2024,-1.0,0.5,0.08,1.83,624585,657656,,1,6,Bot,,,,,,,6.130606487858939,-134.33683553908517,-3.880540113629704,-13.511989306642022,30.32252795169697,-25.524718588128827,3.44,1.6,2,61.2,-34,93.3,2461,7.0,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.51,,,,,,,,45,2,Sinker,2,0,2,0,0,2,2,0,Strategic,Standard,215,0.005,-0.087,38.1,6.1,,0.087,88.0,2,2,0.8950532470733753,0.8950532470733753,27,29,28,30,3,2,6,5,12,2,2.19,1.0,1.0,21.4,-20.00009145705951,43.25224357856929,39.18245261563547,41.74564603048182,1.4271453212197844
SI,2024-09-27,92.5,-1.48,5.26,"Singer, Brady",669221,663903,,foul,,,,,4,Foul,R,R,R,ATL,KC,S,,,0,0,2024,-0.61,0.69,-0.43,2.37,624585,657656,,1,6,Bot,,,,,,,4.053392008322312,-134.6751686505021,-3.1363630572231944,-8.239005455350952,27.81836447260184,-23.259873430197626,3.44,1.6,246,76.1,39,94.1,2267,7.1,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.42,,,,,,,,45,1,Sinker,2,0,2,0,0,2,2,0,Strategic,Standard,214,0.005,-0.054,70.2,6.8,,0.054,88.0,2,2,0.8950532470733753,0.8950532470733753,27,29,28,30,3,2,6,5,12,2,1.96,0.61,0.61,21.5,-4.1258364638173095,13.707267841765857,39.49236273164298,34.932095590260545,20.16857771038669
SI,2024-09-27,91.1,-1.34,5.26,"Singer, Brady",657656,663903,double,hit_into_play,,,,,5,Ramón Laureano doubles (16) on a sharp line drive to left fielder Tommy Pham. Jorge Soler to 3rd.,R,R,R,ATL,KC,X,7,line_drive,1,0,2024,-1.11,0.77,0.13,2.34,,,624585,1,6,Bot,68.28,53.14,,,,,6.184912358190337,-132.5400349521938,-3.1788079567284986,-14.405582640678704,26.342109993015665,-22.57426857596513,3.33,1.53,387,107.1,19,92.8,2318,7.2,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.34,0.669,0.917,1.25,1,1,1,6,44,2,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,215,0.054,0.775,78.3,7.2,1.536,-0.775,107.1,2,2,0.8459771360825245,0.8459771360825245,27,29,28,30,3,2,6,3,12,1,1.96,1.11,1.11,22.8,17.96265489405211,-1.5470282227399097,33.68025207265015,36.744039854445575,32.692426837276486
SL,2024-09-27,83.1,-1.44,5.37,"Singer, Brady",657656,663903,,ball,,,,,14,Ball,R,R,R,ATL,KC,B,,,0,0,2024,0.12,-0.06,0.88,1.87,,,624585,1,6,Bot,,,,,,,5.139790352764984,-120.97890103715189,-1.444509394339914,0.1761158165185378,23.44377068006817,-32.69975427604172,3.24,1.5,,,,84.0,2396,6.9,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.64,,,,,,,,44,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,92,0.007,0.036,,,,-0.036,,2,2,0.8459771360825245,0.8459771360825245,27,29,28,30,3,2,6,3,12,1,3.36,-0.12,-0.12,27.4,,,,,
SI,2024-09-27,92.8,-1.32,5.22,"Singer, Brady",624585,663903,walk,ball,,,,,14,Jorge Soler walks.,R,R,R,ATL,KC,B,,,3,2,2024,-1.14,0.76,0.05,0.93,,,,1,6,Bot,,,,,,,6.091274258674333,-134.94586968781152,-6.90240848349758,-15.23090868538672,30.213408418417544,-21.596411801964575,3.52,1.76,,,,94.1,2365,7.1,747065,521692,493329,686681,641658,677951,502054,664728,592669,53.37,,0.689131,0.7,1,0,0,,43,6,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,212,0.021,0.348,,,,-0.348,,2,2,0.831938249776251,0.831938249776251,27,32,28,32,3,2,6,3,12,1,1.9,1.14,1.14,24.9,,,,,
