pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-09-28,89.2,2.34,5.52,"Quintana, Jose",669003,500779,sac_bunt,hit_into_play,,,,,6,"Garrett Mitchell out on a sacrifice bunt, third baseman Mark Vientos to second baseman Jose Iglesias. Jackson Chourio to 3rd.",R,L,L,MIL,NYM,X,5,ground_ball,0,0,2024,1.26,0.63,0.67,2.24,,694192,,0,5,Bot,119.74,191.52,,,,,-6.783551568095171,-129.7705559339648,-3.416099529612299,15.686800055790291,26.265521377137087,-24.56143323426249,3.46,1.59,2,32.9,-47,89.8,2014,6.6,745931,620443,624413,578428,668901,682668,607043,664056,516782,53.91,0.297,,0.2,0,0,0,1,38,1,Sinker,2,0,2,0,0,2,2,0,Strategic,Standard,148,0.004,-0.024,,,0.301,0.024,88.0,2,2,0.8523341477846145,0.8523341477846145,35,25,35,26,3,2,10,1,5,1,2.23,1.26,1.26,39.0,,,,,
SI,2024-09-28,89.2,2.16,5.69,"Quintana, Jose",694192,500779,double,hit_into_play,,,,,1,Jackson Chourio doubles (29) on a fly ball to left fielder Brandon Nimmo.,R,R,L,MIL,NYM,X,7,fly_ball,2,2,2024,0.96,0.96,-0.59,2.8,,,,0,5,Bot,36.14,85.65,,,,,-8.831241669839695,-129.5810111008734,-3.1047623474142547,12.674428086626362,26.83726409025269,-20.856062621099937,3.3,1.56,354,96.9,25,89.7,2029,6.7,745931,620443,624413,578428,668901,682668,607043,664056,516782,53.82,0.294,0.432,1.25,1,1,1,5,37,6,Sinker,2,0,2,0,0,2,2,0,Standard,Strategic,157,0.047,0.721,77.2,7.5,0.749,-0.721,96.9,2,2,0.812040704511821,0.812040704511821,35,20,35,20,3,2,10,1,5,1,1.91,0.96,-0.96,45.6,14.196399135323157,-22.1949536832337,25.323904144414865,31.019767128168485,34.57525158690643
CU,2024-09-28,76.3,2.1,5.72,"Quintana, Jose",694192,500779,,foul,,,,,14,Foul,R,R,L,MIL,NYM,S,,,2,2,2024,-0.79,-0.64,1.23,2.06,,,,0,5,Bot,,,,,,,-0.4129090705134604,-111.1710286109422,0.3835553286728721,-6.53413821966279,17.612925569437795,-37.76203263608462,3.3,1.56,2,39.7,-51,77.1,2116,6.5,745931,620443,624413,578428,668901,682668,607043,664056,516782,53.99,,,,,,,,37,5,Curveball,2,0,2,0,0,2,2,0,Standard,Strategic,300,0.008,0.0,63.1,7.8,,0.0,88.0,2,2,0.812040704511821,0.812040704511821,35,20,35,20,3,2,10,1,5,1,4.51,-0.79,0.79,46.2,13.81434419739948,-1.2087388296980304,25.65957962335317,52.48705603662327,28.93747200835049
SI,2024-09-28,89.1,2.26,5.6,"Quintana, Jose",694192,500779,,swinging_strike,,,,,3,Swinging Strike,R,R,L,MIL,NYM,S,,,2,1,2024,1.15,0.79,0.53,2.8,,,,0,5,Bot,,,,,,,-6.710038795063475,-129.61030568035895,-2.523129745750054,14.36841294704837,26.560132246489992,-22.97026887773778,3.3,1.56,,,,89.7,1975,6.6,745931,620443,624413,578428,668901,682668,607043,664056,516782,53.85,,,,,,,,37,4,Sinker,2,0,2,0,0,2,2,0,Standard,Strategic,157,0.008,-0.069,74.6,7.4,,0.069,,2,2,0.812040704511821,0.812040704511821,35,20,35,20,3,2,10,1,5,1,2.08,1.15,-1.15,43.3,10.490282204552145,9.626617868339832,20.84582070730319,46.9291447945934,24.27224402518265
CH,2024-09-28,85.1,2.34,5.67,"Quintana, Jose",694192,500779,,ball,,,,,14,Ball,R,R,L,MIL,NYM,B,,,1,1,2024,1.03,0.21,0.51,0.63,,,,0,5,Bot,,,,,,,-6.36856859395162,-123.76640869557885,-5.947982725176271,11.834576210794443,23.08287986246185,-29.108367672235797,3.29,1.68,,,,85.3,1279,6.3,745931,620443,624413,578428,668901,682668,607043,664056,516782,54.17,,,,,,,,37,3,Changeup,2,0,2,0,0,2,2,0,Standard,Strategic,129,0.008,0.053,,,,-0.053,,2,2,0.812040704511821,0.812040704511821,35,20,35,20,3,2,10,1,5,1,2.93,1.03,-1.03,42.2,,,,,
SI,2024-09-28,88.8,2.28,5.64,"Quintana, Jose",694192,500779,,foul,,,,,9,Foul,R,R,L,MIL,NYM,S,,,1,0,2024,1.08,0.97,0.35,1.8,,,,0,5,Bot,,,,,,,-7.0376093093533925,-129.0679149037786,-5.409460281569438,13.487441326419964,26.66549638654086,-20.43269726977761,3.3,1.56,,,,89.6,2152,6.8,745931,620443,624413,578428,668901,682668,607043,664056,516782,53.67,,,,,,,,37,2,Sinker,2,0,2,0,0,2,2,0,Standard,Strategic,154,0.008,-0.049,72.6,8.2,,0.049,,2,2,0.812040704511821,0.812040704511821,35,20,35,20,3,2,10,1,5,1,1.93,1.08,-1.08,45.5,16.418885146056336,3.508104417038125,27.58852875407097,45.44754141293241,27.96868655891291
CU,2024-09-28,77.4,2.14,5.71,"Quintana, Jose",694192,500779,,ball,,,,,14,Ball,R,R,L,MIL,NYM,B,,,0,0,2024,-0.43,-0.61,1.28,1.44,,,,0,5,Bot,,,,,,,-1.053883991651041,-112.75833190376244,-1.0941487074740608,-3.465253184940793,19.27057151943465,-37.44241387845688,3.38,1.62,,,,77.9,2299,6.4,745931,620443,624413,578428,668901,682668,607043,664056,516782,54.09,,,,,,,,37,1,Curveball,2,0,2,0,0,2,2,0,Standard,Strategic,299,0.008,0.038,,,,-0.038,,2,2,0.812040704511821,0.812040704511821,35,20,35,20,3,2,10,1,5,1,4.39,-0.43,0.43,44.3,,,,,
CH,2024-09-28,85.8,2.36,5.49,"Quintana, Jose",655316,500779,strikeout,called_strike,,,,,9,Andruw Monasterio called out on strikes.,R,R,L,MIL,NYM,S,2,,2,2,2024,0.84,0.39,0.51,1.33,686555,687401,,2,4,Bot,,,,,,,-6.07679193536505,-124.83318231914824,-4.419710416438657,9.975840069860942,23.042395560750435,-27.406680193150983,3.23,1.44,,,,86.3,1324,6.4,745931,620443,624413,578428,668901,682668,607043,664056,516782,54.08,,0.0,0.0,1,0,0,,32,5,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,120,-0.03,-0.227,,,,0.227,,2,2,0.7907013001741472,0.7907013001741472,35,27,35,27,2,1,10,7,5,1,2.68,0.84,-0.84,38.5,,,,,
CH,2024-09-28,86.1,2.31,5.52,"Quintana, Jose",655316,500779,,blocked_ball,,,,,13,Ball In Dirt,R,R,L,MIL,NYM,B,,,1,2,2024,1.02,0.25,-0.18,0.29,686555,687401,,2,4,Bot,,,,,,,-7.986814647133959,-125.09480810958094,-6.7142196987379865,12.253556652411856,23.201330618000718,-28.461212568154323,3.26,1.53,,,,86.5,1363,6.5,745931,620443,624413,578428,668901,682668,607043,664056,516782,54.03,,,,,,,,32,4,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,127,0.008,0.028,,,,-0.028,,2,2,0.7907013001741472,0.7907013001741472,35,27,35,27,2,1,10,7,5,1,2.82,1.02,-1.02,42.5,,,,,
FF,2024-09-28,89.3,2.22,5.62,"Quintana, Jose",655316,500779,,ball,,,,,12,Ball,R,R,L,MIL,NYM,B,,,0,2,2024,0.32,1.29,0.65,3.91,686555,,687401,2,4,Bot,,,,,,,-4.580136658762026,-130.01505167460462,-0.9364105754237756,4.547645028763153,26.012545915496386,-17.484143288842574,3.18,1.56,,,,90.0,2083,6.6,745931,620443,624413,578428,668901,682668,607043,664056,516782,53.92,,,,,,,,32,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,155,0.013,0.035,,,,-0.035,,2,2,0.7857450605754741,0.7857450605754741,35,27,35,27,2,1,10,7,5,1,1.55,0.32,-0.32,44.1,,,,,
