pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-09-24,92.6,-1.82,6.29,"Bibee, Tanner",669289,676440,field_out,hit_into_play,,,,,14,Santiago Espinal flies out to right fielder Jhonkensy Noel.,R,R,R,CLE,CIN,X,9,fly_ball,0,0,2024,-0.31,1.15,0.87,2.08,,,,2,7,Top,165.31,107.55,,,,,7.563329108451835,-134.6246536357129,-7.4891862784118,-5.26365472648594,26.87046900575747,-16.80991827243081,3.35,1.57,249,73.7,28,93.1,2230,6.4,746581,666310,647304,665926,608070,677587,682657,657041,678877,54.07,0.671,0.651,0.0,1,0,0,4,54,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,203,0.013,-0.256,64.7,7.5,0.787,0.256,88.0,3,-3,0.9331009833074722,0.0668990166925278,25,29,25,30,3,2,6,2,11,1,1.5,0.31,0.31,55.2,7.862170697592009,7.403946722583588,28.19488297810485,45.13092020890623,30.51253544961614
ST,2024-09-24,81.1,-2.28,6.15,"Bibee, Tanner",641584,676440,field_out,hit_into_play,,,,,5,"Jake Fraley grounds out, first baseman Josh Naylor to pitcher Tanner Bibee.",R,L,R,CLE,CIN,X,3,ground_ball,2,1,2024,1.56,-0.09,-0.11,2.17,,,,1,7,Top,162.87,167.42,,,,,1.870653341885156,-118.09667234937103,-2.0976396767033583,14.214891324999762,23.525363612052363,-32.77877541782585,3.35,1.59,47,79.9,1,81.0,2536,6.3,746581,666310,647304,665926,608070,677587,682657,657041,678877,54.24,0.211,0.216,0.0,1,0,0,2,53,4,Sweeper,4,1,1,4,1,4,1,4,Infield shade,Standard,53,0.021,-0.302,62.9,7.3,0.254,0.302,88.0,3,-3,0.917484875208997,0.0825151247910029,25,29,25,29,3,2,6,2,11,1,3.56,-1.56,1.56,50.0,9.44847750705538,-10.035948224125422,36.039419916040295,37.183309919665945,30.95326612642484
CH,2024-09-24,81.6,-2.1,6.08,"Bibee, Tanner",641584,676440,,swinging_strike,,,,,14,Swinging Strike,R,L,R,CLE,CIN,S,,,2,0,2024,-1.26,0.75,0.39,1.05,,,,1,7,Top,,,,,,,8.041873552120048,-118.54019574890424,-6.189637674630896,-13.376741073316538,22.133937422713046,-24.076530673103058,3.35,1.59,,,,81.9,1978,6.5,746581,666310,647304,665926,608070,677587,682657,657041,678877,53.98,,,,,,,,53,3,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,215,0.007,-0.065,64.3,9.0,,0.065,,3,-3,0.917484875208997,0.0825151247910029,25,29,25,29,3,2,6,2,11,1,2.68,1.26,-1.26,54.2,40.7918622707249,-45.3646407754806,51.98642235049167,29.324628302624973,52.869888533185474
CH,2024-09-24,81.2,-2.01,6.16,"Bibee, Tanner",641584,676440,,ball,,,,,6,Ball,R,L,R,CLE,CIN,B,,,1,0,2024,-1.12,1.08,0.79,2.37,,,,1,7,Top,,,,,,,8.41571515711097,-117.92961549486616,-3.937739937955455,-12.024080087352196,22.26757752894112,-21.53441028817893,3.39,1.58,,,,81.4,2015,6.5,746581,666310,647304,665926,608070,677587,682657,657041,678877,53.98,,,,,,,,53,2,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,213,0.007,0.072,,,,-0.072,,3,-3,0.917484875208997,0.0825151247910029,25,29,25,29,3,2,6,2,11,1,2.39,1.12,-1.12,53.1,,,,,
CU,2024-09-24,77.5,-2.01,6.29,"Bibee, Tanner",641584,676440,,ball,,,,,13,Ball,R,L,R,CLE,CIN,B,,,0,0,2024,0.65,-0.76,-0.19,1.17,,,,1,7,Top,,,,,,,2.715281674017829,-112.82169231736005,-2.604923134890692,5.049755276665885,21.343818518690213,-38.35463124818981,3.4,1.55,,,,77.7,2581,6.5,746581,666310,647304,665926,608070,677587,682657,657041,678877,54.03,,,,,,,,53,1,Curveball,4,1,1,4,1,4,1,4,Standard,Standard,40,0.007,0.039,,,,-0.039,,3,-3,0.917484875208997,0.0825151247910029,25,29,25,29,3,2,6,2,11,1,4.56,-0.65,0.65,56.3,,,,,
FF,2024-09-24,92.9,-1.82,6.28,"Bibee, Tanner",664034,676440,strikeout,swinging_strike,,,,,14,Ty France strikes out swinging.,R,R,R,CLE,CIN,S,2,,1,2,2024,-0.27,1.18,1.12,2.27,,,,0,7,Top,,,,,,,8.15387323404487,-134.99557928665843,-7.081514845910987,-5.029130229446159,29.325856464749048,-16.417267106979374,3.19,1.45,,,,93.3,2052,6.6,746581,666310,647304,665926,608070,677587,682657,657041,678877,53.92,,0.0,0.0,1,0,0,,52,4,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,202,0.031,-0.186,43.4,6.2,,0.186,,3,-3,0.8934890965969006,0.1065109034030994,25,29,25,30,3,2,6,2,11,1,1.47,0.27,0.27,56.3,-7.439059236238151,46.04079858135217,31.55797276081934,48.70655187141121,-4.194821741591168
FF,2024-09-24,93.2,-2.07,6.3,"Bibee, Tanner",664034,676440,,ball,,,,,11,Ball,R,R,R,CLE,CIN,B,,,0,2,2024,-0.44,1.12,-0.49,4.89,,,,0,7,Top,,,,,,,5.010024052256291,-135.63845611694768,-0.3049865032284438,-6.502528037530507,30.048811431736542,-18.52987445220885,3.2,1.48,,,,93.1,2038,6.2,746581,666310,647304,665926,608070,677587,682657,657041,678877,54.27,,,,,,,,52,3,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,212,0.009,0.023,,,,-0.023,,3,-3,0.8934890965969006,0.1065109034030994,25,29,25,30,3,2,6,2,11,1,1.51,0.44,0.44,48.8,,,,,
FF,2024-09-24,92.7,-1.92,6.19,"Bibee, Tanner",664034,676440,,called_strike,,,,,6,Called Strike,R,R,R,CLE,CIN,S,,,0,1,2024,-0.2,1.29,0.47,2.07,,,,0,7,Top,,,,,,,6.5443761192908125,-134.8122149724883,-7.591705371146139,-3.784561503904788,28.260842812001894,-14.94401247235583,3.26,1.51,,,,93.1,2316,6.5,746581,666310,647304,665926,608070,677587,682657,657041,678877,54.03,,,,,,,,52,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Strategic,Standard,203,0.009,-0.054,,,,0.054,,3,-3,0.8934890965969006,0.1065109034030994,25,29,25,30,3,2,6,2,11,1,1.36,0.2,0.2,53.6,,,,,
FC,2024-09-24,85.2,-1.91,6.23,"Bibee, Tanner",664034,676440,,swinging_strike,,,,,14,Swinging Strike,R,R,R,CLE,CIN,S,,,0,0,2024,0.62,0.09,1.02,1.07,,,,0,7,Top,,,,,,,5.665012999121266,-123.9743769007317,-6.050467109237603,5.275744893998535,24.19908728513961,-30.266136750328847,3.19,1.45,,,,85.7,2649,6.6,746581,666310,647304,665926,608070,677587,682657,657041,678877,53.91,,,,,,,,52,1,Cutter,4,1,1,4,1,4,1,4,Strategic,Standard,89,0.009,-0.037,73.9,8.5,,0.037,,3,-3,0.8934890965969006,0.1065109034030994,25,29,25,30,3,2,6,2,11,1,3.05,-0.62,-0.62,51.5,22.987610815106407,-6.985238828977212,38.34352914690857,46.06545094160094,39.90257854869797
FC,2024-09-24,86.9,-2.17,6.16,"Bibee, Tanner",670770,676440,strikeout,swinging_strike,,,,,8,TJ Friedl strikes out swinging.,R,L,R,CLE,CIN,S,2,,3,2,2024,0.71,0.29,-0.08,1.45,,,,2,6,Top,,,,,,,3.576473534182368,-126.35372296390166,-5.630188333646927,6.703574477919399,28.25755409196453,-28.06396084329512,3.09,1.48,,,,86.8,2644,6.5,746581,666310,647304,665926,608070,677587,682657,657041,686823,53.99,,0.0,0.0,1,0,0,,46,6,Cutter,4,1,1,4,1,4,1,4,Standard,Standard,100,0.016,-0.325,70.4,8.0,,0.325,,3,-3,0.9024822574558472,0.0975177425441528,25,28,25,29,3,2,6,2,11,1,2.76,-0.71,0.71,50.8,17.819521772010038,-35.38906913173567,29.83586049906717,36.09504001409591,56.5838209055329
CH,2024-09-24,83.1,-2.07,6.12,"Bibee, Tanner",670770,676440,,called_strike,,,,,2,Called Strike,R,L,R,CLE,CIN,S,,,3,1,2024,-0.98,1.01,0.23,3.06,,,,2,6,Top,,,,,,,7.237704992911862,-120.91654145436723,-2.5490582621172275,-11.007718563214638,22.81269008889478,-21.950950745829815,3.18,1.42,,,,83.6,1952,6.5,746581,666310,647304,665926,608070,677587,682657,657041,686823,53.96,,,,,,,,46,5,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,215,0.007,-0.089,,,,0.089,,3,-3,0.9024822574558472,0.0975177425441528,25,28,25,29,3,2,6,2,11,1,2.28,0.98,-0.98,50.5,,,,,
FC,2024-09-24,87.2,-2.35,6.1,"Bibee, Tanner",670770,676440,,ball,,,,,11,Ball,R,L,R,CLE,CIN,B,,,2,1,2024,0.66,0.7,-1.32,2.91,,,,2,6,Top,,,,,,,1.1208704015118225,-127.00913525518196,-2.9345233386278577,6.878339255239898,27.866063182049736,-24.22922223365379,3.19,1.4,,,,87.3,2569,6.4,746581,666310,647304,665926,608070,677587,682657,657041,686823,54.06,,,,,,,,46,4,Cutter,4,1,1,4,1,4,1,4,Standard,Standard,154,0.007,0.112,,,,-0.112,,3,-3,0.9024822574558472,0.0975177425441528,25,28,25,29,3,2,6,2,11,1,2.31,-0.66,0.66,44.2,,,,,
FC,2024-09-24,87.2,-2.4,6.07,"Bibee, Tanner",670770,676440,,ball,,,,,13,Ball,R,L,R,CLE,CIN,B,,,1,1,2024,0.53,0.13,-0.5,1.45,,,,2,6,Top,,,,,,,3.501577146258072,-126.96288786477956,-5.231698829421368,4.988040817585569,25.82133887357221,-29.927014372431127,3.27,1.69,,,,87.5,2539,6.4,746581,666310,647304,665926,608070,677587,682657,657041,686823,54.08,,,,,,,,46,3,Cutter,4,1,1,4,1,4,1,4,Standard,Standard,128,0.007,0.058,,,,-0.058,,3,-3,0.9024822574558472,0.0975177425441528,25,28,25,29,3,2,6,2,11,1,2.86,-0.53,0.53,46.1,,,,,
FF,2024-09-24,93.7,-2.27,6.21,"Bibee, Tanner",670770,676440,,ball,,,,,11,Ball,R,L,R,CLE,CIN,B,,,0,1,2024,-0.49,1.1,-1.77,2.97,,,,2,6,Top,,,,,,,2.372187526404121,-136.5528777386353,-5.112225898392843,-6.596482032804628,28.03512038436564,-17.497923689928868,3.3,1.5,,,,94.3,2037,6.4,746581,666310,647304,665926,608070,677587,682657,657041,686823,54.11,,,,,,,,46,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,210,0.007,0.029,,,,-0.029,,3,-3,0.9024822574558472,0.0975177425441528,25,28,25,29,3,2,6,2,11,1,1.48,0.49,-0.49,49.2,,,,,
CH,2024-09-24,82.3,-2.13,6.15,"Bibee, Tanner",670770,676440,,swinging_strike,,,,,4,Swinging Strike,R,L,R,CLE,CIN,S,,,0,0,2024,-1.01,0.98,-0.51,2.17,,,,2,6,Top,,,,,,,5.665507495473892,-119.73826835340232,-4.444173657734098,-10.814699700909278,21.894829762496283,-22.06139494685132,3.09,1.48,,,,82.7,1885,6.5,746581,666310,647304,665926,608070,677587,682657,657041,686823,54.03,,,,,,,,46,1,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,219,0.007,-0.041,71.5,8.0,,0.041,,3,-3,0.9024822574558472,0.0975177425441528,25,28,25,29,3,2,6,2,11,1,2.37,1.01,-1.01,49.4,20.789476638730516,-50.31350853165099,23.45068935092769,39.469076090401686,70.49689889284753
FC,2024-09-24,87.7,-2.24,6.12,"Bibee, Tanner",668715,676440,strikeout,swinging_strike,,,,,14,Spencer Steer strikes out swinging.,R,R,R,CLE,CIN,S,2,,1,2,2024,0.63,0.46,0.43,1.3,,,,1,6,Top,,,,,,,5.159085091854564,-127.5339225121874,-6.482652850653673,5.78266162506576,26.61516502559084,-26.046414698421525,3.31,1.57,,,,88.0,2530,6.5,746581,666310,647304,665926,608070,677587,682657,657041,686823,53.96,,0.0,0.0,1,0,0,,45,5,Cutter,4,1,1,4,1,4,1,4,Strategic,Standard,125,0.022,-0.182,68.7,8.6,,0.182,,3,-3,0.8865437405493367,0.1134562594506632,25,26,25,27,3,2,6,2,11,1,2.51,-0.63,-0.63,48.6,25.30485249167356,-33.877176079080535,32.25022168348705,37.22742874572931,48.67886694515133
CH,2024-09-24,84.8,-2.08,6.22,"Bibee, Tanner",668715,676440,,ball,,,,,13,Ball,R,R,R,CLE,CIN,B,,,0,2,2024,-1.24,0.62,-1.65,2.26,,,,1,6,Top,,,,,,,3.480781175204409,-123.54192750534982,-4.251844445977226,-13.453802538763124,21.79627805204558,-25.17152310774217,3.35,1.68,,,,85.3,1736,6.3,746581,666310,647304,665926,608070,677587,682657,657041,686823,54.22,,,,,,,,45,4,Changeup,4,1,1,4,1,4,1,4,Standard,Standard,223,0.008,0.02,,,,-0.02,,3,-3,0.8865437405493367,0.1134562594506632,25,26,25,27,3,2,6,2,11,1,2.51,1.24,1.24,49.4,,,,,
CU,2024-09-24,81.1,-1.9,6.29,"Bibee, Tanner",668715,676440,,foul,,,,,14,Foul,R,R,R,CLE,CIN,S,,,0,2,2024,0.73,-0.49,0.84,1.56,,,,1,6,Top,,,,,,,4.740373365371713,-118.00184358302997,-3.010413938379853,5.925070790915093,22.77140884963472,-36.37943643532031,3.31,1.57,135,65.0,17,81.7,2599,6.7,746581,666310,647304,665926,608070,677587,682657,657041,686823,53.78,,,,,,,,45,3,Curveball,4,1,1,4,1,4,1,4,Standard,Standard,36,0.008,0.0,57.2,8.1,,0.0,88.0,3,-3,0.8865437405493367,0.1134562594506632,25,26,25,27,3,2,6,2,11,1,3.96,-0.73,-0.73,59.3,14.236969706165088,-26.47970389699464,28.246102071115097,42.143598285509626,46.9500076644414
