pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-09-28,93.2,-1.14,6.01,"Canning, Griffin",669701,656288,field_out,hit_into_play,,,,,12,Josh Smith pops out to third baseman Eric Wagaman.,R,L,R,LAA,TEX,X,5,popup,2,2,2024,-0.64,1.17,0.36,3.61,,,,2,5,Top,87.67,141.72,,,,,5.249203193278394,-135.66902270685776,-2.9850488331639107,-9.099771345998436,29.612166406415284,-17.21651898446188,3.07,1.47,176,74.6,59,93.1,2121,6.2,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.32,0.026,0.023,0.0,1,0,0,3,42,5,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,212,0.009,-0.219,59.7,5.2,0.031,0.219,88.0,5,-5,0.9562794564828724,0.0437205435171276,28,26,28,27,3,2,6,1,,1,1.45,0.64,-0.64,45.6,3.467768412577376,6.8288032717421245,22.620343438051947,32.18633138327043,26.789216482018613
SL,2024-09-28,86.3,-1.55,5.87,"Canning, Griffin",669701,656288,,ball,,,,,14,Ball,R,L,R,LAA,TEX,B,,,1,2,2024,-0.03,-0.35,0.14,0.92,,,,2,5,Top,,,,,,,4.070843257632689,-125.53245414920426,-4.810240506752608,-1.1281234851410942,25.83227317754555,-35.08748819464076,3.14,1.53,,,,85.8,2751,6.0,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.5,,,,,,,,42,4,Slider,7,2,2,7,2,7,2,7,Infield shade,Standard,32,0.005,0.039,,,,-0.039,,5,-5,0.9562794564828724,0.0437205435171276,28,26,28,27,3,2,6,1,,1,3.42,0.03,-0.03,41.8,,,,,
CH,2024-09-28,87.9,-1.45,5.89,"Canning, Griffin",669701,656288,,foul,,,,,13,Foul,R,L,R,LAA,TEX,S,,,1,1,2024,-1.43,0.57,-0.99,2.22,,,,2,5,Top,,,,,,,4.037935367117984,-127.95781012642324,-3.9066769515198514,-16.502702816137056,27.40173925793795,-25.33608873247056,3.07,1.47,264,79.5,42,87.1,1742,5.8,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.68,,,,,,,,42,3,Changeup,7,2,2,7,2,7,2,7,Infield shade,Standard,238,0.005,-0.064,72.1,6.7,,0.064,88.0,5,-5,0.9562794564828724,0.0437205435171276,28,26,28,27,3,2,6,1,,1,2.39,1.43,-1.43,41.2,8.288433713639945,5.859330294202595,32.71054162745725,48.40093119548324,28.08823574227563
FF,2024-09-28,93.0,-1.35,6.02,"Canning, Griffin",669701,656288,,ball,,,,,11,Ball,R,L,R,LAA,TEX,B,,,0,1,2024,-0.63,1.48,-0.1,4.49,,,,2,5,Top,,,,,,,4.553523877121666,-135.2982430695868,-1.363640084119064,-8.717667522312038,30.90595945235876,-13.998463237803255,3.16,1.54,,,,92.3,2113,6.0,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.51,,,,,,,,42,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,212,0.005,0.029,,,,-0.029,,5,-5,0.9562794564828724,0.0437205435171276,28,26,28,27,3,2,6,1,,1,1.17,0.63,-0.63,45.6,,,,,
FF,2024-09-28,92.4,-1.24,5.94,"Canning, Griffin",669701,656288,,called_strike,,,,,7,Called Strike,R,L,R,LAA,TEX,S,,,0,0,2024,-0.72,1.49,-0.83,1.9,,,,2,5,Top,,,,,,,2.6280144739206808,-134.3715434770469,-7.68441028039024,-9.335090135800376,29.727469375507127,-12.611318061820912,3.19,1.56,,,,92.1,2073,6.2,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.33,,,,,,,,42,1,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,215,0.005,-0.041,,,,0.041,,5,-5,0.9562794564828724,0.0437205435171276,28,26,28,27,3,2,6,1,,1,1.18,0.72,-0.72,46.6,,,,,
SL,2024-09-28,85.9,-1.43,6.03,"Canning, Griffin",543760,656288,field_out,hit_into_play,,,,,11,"Marcus Semien grounds out softly, third baseman Eric Wagaman to first baseman Niko Kavadas.",R,R,R,LAA,TEX,X,5,ground_ball,2,1,2024,0.12,-0.67,-1.0,2.56,,,,1,5,Top,97.06,169.54,,,,,0.775463642682739,-125.24725177621248,-0.6776494756110399,1.0983798010384933,24.05589745322849,-39.27877371245112,3.31,1.63,78,49.7,14,85.6,2756,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.62,0.134,0.143,0.0,1,0,0,1,41,4,Slider,7,2,2,7,2,7,2,7,Infield shade,Standard,54,0.012,-0.302,61.0,7.1,0.156,0.302,88.0,5,-5,0.9485720285377446,0.0514279714622554,28,33,28,34,3,2,6,1,,1,3.73,-0.12,-0.12,49.9,2.746800991432988,-2.6041158430353866,43.32347140494204,19.32342205282017,21.13143261817536
FF,2024-09-28,92.9,-1.13,6.06,"Canning, Griffin",543760,656288,,ball,,,,,11,Ball,R,R,R,LAA,TEX,B,,,1,1,2024,-0.69,1.27,-0.65,4.14,,,,1,5,Top,,,,,,,2.724473963002049,-135.31391592478602,-1.9201761576296996,-9.01443038180058,29.881538917658855,-16.414484395683445,3.42,1.7,,,,92.7,2055,6.2,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.34,,,,,,,,41,3,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,212,0.005,0.059,,,,-0.059,,5,-5,0.9485720285377446,0.0514279714622554,28,33,28,34,3,2,6,1,,1,1.37,0.69,0.69,47.4,,,,,
CH,2024-09-28,88.4,-1.4,5.83,"Canning, Griffin",543760,656288,,foul,,,,,5,Foul,R,R,R,LAA,TEX,S,,,1,0,2024,-1.48,0.14,-0.09,2.22,,,,1,5,Top,,,,,,,6.247135331896025,-128.5619332605964,-2.9935022478303512,-17.71178512128633,26.75636774105565,-30.23190448651872,3.31,1.63,2,85.1,-43,88.0,1684,6.1,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.42,,,,,,,,41,2,Changeup,7,2,2,7,2,7,2,7,Infield shade,Standard,239,0.005,-0.051,,,,0.051,88.0,5,-5,0.9485720285377446,0.0514279714622554,28,33,28,34,3,2,6,1,,1,2.78,1.48,1.48,38.3,,,,,
CH,2024-09-28,87.5,-1.44,5.82,"Canning, Griffin",543760,656288,,ball,,,,,7,Ball,R,R,R,LAA,TEX,B,,,0,0,2024,-1.5,0.35,-0.52,1.85,,,,1,5,Top,,,,,,,5.248911159035855,-127.28627184022405,-4.154596450347382,-17.352136001825965,25.379901920576643,-27.67490440224589,3.37,1.62,,,,86.8,1672,5.8,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.67,,,,,,,,41,1,Changeup,7,2,2,7,2,7,2,7,Infield shade,Standard,244,0.005,0.039,,,,-0.039,,5,-5,0.9485720285377446,0.0514279714622554,28,33,28,34,3,2,6,1,,1,2.62,1.5,1.5,39.5,,,,,
SL,2024-09-28,84.6,-1.52,5.91,"Canning, Griffin",677649,656288,strikeout,swinging_strike,,,,,14,"Ezequiel Duran strikes out swinging, catcher Logan O'Hoppe to first baseman Niko Kavadas.",R,R,R,LAA,TEX,S,2,,2,2,2024,0.87,-0.13,1.13,1.6,,,,0,5,Top,,,,,,,4.421732502825556,-123.21802319575374,-3.4178097450278053,7.919862395054706,24.985171886886874,-33.05735119833379,3.38,1.56,,,,84.0,2832,5.9,746171,681351,694359,683021,676572,605346,621493,607680,672569,54.58,,0.0,0.0,1,0,0,,40,6,Slider,7,2,2,7,2,7,2,7,Standard,Standard,25,0.018,-0.227,70.1,8.4,,0.227,,5,-5,0.9364688950613868,0.0635311049386131,28,25,28,25,2,1,6,1,,1,3.32,-0.87,-0.87,43.2,18.905994902528697,-29.85453038074275,25.002384219262822,47.414120559947975,54.63896866124939
