pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2024-09-27,80.0,1.49,4.32,"Sears, JP",641487,676664,field_out,hit_into_play,,,,,11,"J.P. Crawford grounds out, second baseman Zack Gelof to first baseman Tyler Soderstrom.",R,L,L,SEA,OAK,X,4,ground_ball,1,2,2024,-0.83,0.43,-1.17,2.84,,,571745,2,6,Bot,147.37,159.79,,,,,-4.343313007976362,-116.49903620622746,2.6138200996571017,-6.812740594386071,20.232204028780444,-28.892135227366463,3.18,1.51,5,60.4,-29,81.2,2211,6.9,745202,668832,691016,680869,687231,805779,663662,668709,671732,53.59,0.08,0.066,0.0,1,0,0,2,48,4,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,278,-0.005,-0.197,58.9,7.3,0.09,0.197,88.0,2,2,0.8290150015761936,0.8290150015761936,28,29,28,29,3,2,6,2,,1,3.1,-0.83,-0.83,17.2,18.846993713598383,-2.548505787037976,26.409303742242237,48.67838654648929,40.31628472907667
SL,2024-09-27,79.1,1.49,4.32,"Sears, JP",641487,676664,,swinging_strike,,,,,12,Swinging Strike,R,L,L,SEA,OAK,S,,,1,1,2024,-0.49,0.63,0.47,3.36,,,571745,2,6,Bot,,,,,,,-1.3095569769026112,-115.26329743981138,3.446977678225176,-4.213583876863503,19.34397569762221,-27.251114044729,3.18,1.51,,,,79.7,2101,6.4,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.06,,,,,,,,48,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,266,0.009,-0.06,57.0,5.4,,0.06,,2,2,0.8290150015761936,0.8290150015761936,28,29,28,29,3,2,6,2,,1,2.97,-0.49,-0.49,17.6,-4.470706634347606,20.758863018013685,31.01409342434793,30.06855663858653,30.727593266021017
ST,2024-09-27,76.9,1.42,4.31,"Sears, JP",641487,676664,,foul,,,,,7,Foul,R,L,L,SEA,OAK,S,,,1,0,2024,-1.33,-0.03,-0.62,1.91,,,571745,2,6,Bot,,,,,,,-1.9387993347098849,-111.91146740682498,2.004806183832242,-10.693239529891716,21.99176354614452,-33.02367431795397,3.18,1.51,149,56.7,51,77.0,2093,6.6,745202,668832,691016,680869,687231,805779,663662,668709,671732,53.91,,,,,,,,48,2,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,275,0.009,-0.048,71.2,7.9,,0.048,88.0,2,2,0.8290150015761936,0.8290150015761936,28,29,28,29,3,2,6,2,,1,3.91,-1.33,-1.33,17.2,16.52976378041012,-20.91058769582412,34.85795337364244,40.69410513200454,57.04710663164487
ST,2024-09-27,78.2,1.48,4.33,"Sears, JP",641487,676664,,ball,,,,,12,Ball,R,L,L,SEA,OAK,B,,,0,0,2024,-1.41,0.31,0.97,3.53,,,571745,2,6,Bot,,,,,,,1.5124360698013053,-113.65318154688693,4.650059444364166,-12.433925205722876,22.67417832180651,-30.664895134111624,3.15,1.51,,,,78.0,2085,6.5,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.05,,,,,,,,48,1,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,267,0.009,0.034,,,,-0.034,,2,2,0.8290150015761936,0.8290150015761936,28,29,28,29,3,2,6,2,,1,3.45,-1.41,-1.41,15.5,,,,,
CH,2024-09-27,83.7,1.3,4.35,"Sears, JP",571745,676664,single,hit_into_play,,,,,5,Mitch Haniger singles on a ground ball to left fielder Daz Cameron.,R,R,L,SEA,OAK,X,7,ground_ball,0,2,2024,1.52,0.18,0.0,2.63,,,,2,6,Bot,70.45,125.53,,,,,-6.019906126936562,-121.7448994484762,2.077878974407917,16.306877664639863,23.2670133083695,-30.99524244329597,3.41,1.59,70,102.9,2,84.0,1727,6.5,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.02,0.551,0.534,0.9,1,1,0,4,47,3,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,102,0.016,0.431,73.3,7.1,0.65,-0.431,102.9,2,2,0.821908640862257,0.821908640862257,28,33,28,34,3,2,6,6,,1,3.07,1.52,-1.52,15.5,19.507185834502348,-4.208495051165481,30.60080669899572,40.29170954607979,41.5366704852942
SI,2024-09-27,90.5,1.22,4.48,"Sears, JP",571745,676664,,foul,,,,,5,Foul,R,R,L,SEA,OAK,S,,,0,1,2024,1.43,0.54,0.19,2.24,,,,2,6,Bot,,,,,,,-5.6574503070929545,-131.72657024480753,-0.7978822666340543,17.84330830464606,28.95508833300756,-25.900484500606428,3.41,1.59,318,92.7,40,90.7,1864,6.5,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.04,,,,,,,,47,2,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,120,0.009,-0.058,74.2,6.9,,0.058,92.7,2,2,0.821908640862257,0.821908640862257,28,33,28,34,3,2,6,6,,1,2.25,1.43,-1.43,19.1,3.7280045571268734,12.40256014866776,33.17101744371072,42.62157640394543,28.10085135588364
SL,2024-09-27,77.7,1.35,4.38,"Sears, JP",571745,676664,,foul,,,,,2,Foul,R,R,L,SEA,OAK,S,,,0,0,2024,-0.69,1.02,-0.19,2.87,,,,2,6,Bot,,,,,,,-2.025885902750059,-113.14252481944368,1.7806661809039808,-5.6198561749902725,20.1617517113756,-23.9163657265268,3.41,1.59,4,65.0,-36,77.8,2082,6.3,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.21,,,,,,,,47,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,262,0.009,-0.041,70.0,7.7,,0.041,88.0,2,2,0.821908640862257,0.821908640862257,28,33,28,34,3,2,6,6,,1,2.74,-0.69,0.69,18.0,31.68779543732136,-24.569790506020816,26.56209560767009,38.331066636544286,46.96717786461252
ST,2024-09-27,77.8,1.33,4.36,"Sears, JP",664238,676664,field_out,hit_into_play,,,,,4,Dylan Moore flies out to center fielder JJ Bleday.,R,R,L,SEA,OAK,X,8,fly_ball,0,2,2024,-0.84,0.74,-0.43,2.22,,,,1,6,Bot,131.79,68.26,,,,,-2.2244962443230256,-113.34583753863578,0.906043206298495,-6.917152643615154,19.32289730918706,-26.15889528497208,3.39,1.53,324,92.5,36,78.2,2145,6.4,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.12,0.031,0.05,0.0,1,0,0,3,46,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,259,-0.001,-0.162,68.7,6.8,0.092,0.162,92.5,2,2,0.831938249776251,0.831938249776251,28,31,28,32,3,2,6,2,,1,3.0,-0.84,0.84,20.0,4.497543907373648,-14.797319707772768,34.419494758189515,34.43951599373587,34.559025747345665
ST,2024-09-27,77.1,1.41,4.4,"Sears, JP",664238,676664,,called_strike,,,,,6,Called Strike,R,R,L,SEA,OAK,S,,,0,1,2024,-1.34,0.42,0.37,2.39,,,,1,6,Bot,,,,,,,0.2065630885984698,-112.24515649765296,1.9477694939046144,-11.345330506262226,20.17888881643836,-29.207464808749958,3.3,1.44,,,,77.2,2199,6.3,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.15,,,,,,,,46,2,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,271,0.008,-0.057,,,,0.057,,2,2,0.831938249776251,0.831938249776251,28,31,28,32,3,2,6,2,,1,3.41,-1.34,1.34,18.1,,,,,
SI,2024-09-27,89.9,1.16,4.66,"Sears, JP",664238,676664,,called_strike,,,,,7,Called Strike,R,R,L,SEA,OAK,S,,,0,0,2024,1.41,0.6,-0.44,1.79,,,,1,6,Bot,,,,,,,-6.9539269219539,-130.75487369942778,-2.4114001961664253,17.600665644298285,27.39978038455896,-24.968650773318767,3.33,1.44,,,,90.2,1870,6.5,745202,668832,691016,680869,687231,805779,663662,668709,671732,54.0,,,,,,,,46,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,124,0.008,-0.037,,,,0.037,,2,2,0.831938249776251,0.831938249776251,28,31,28,32,3,2,6,2,,1,2.22,1.41,-1.41,23.5,,,,,
