pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-09-27,92.2,-1.51,6.11,"Martinez, Nick",682634,607259,field_out,hit_into_play,,,,,3,Kevin Alcántara grounds out to first baseman Spencer Steer.,R,R,R,CHC,CIN,X,3,ground_ball,3,2,2024,-1.01,1.02,0.56,3.16,,,,2,8,Bot,158.14,163.75,,,,,7.405317534286248,-134.32369256442,-3.994575964760818,-13.705975655621035,22.531280087139347,-19.067994091299145,3.66,1.68,64,106.6,0,92.5,2344,5.9,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.58,0.514,0.474,0.0,1,0,0,4,56,7,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,203,-0.001,-0.325,73.7,7.4,0.559,0.325,106.6,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,1.61,1.01,1.01,50.6,-7.488361698024718,25.797722337836152,24.29650033983884,49.06993153524489,14.633624378118151
SI,2024-09-27,92.6,-1.55,6.13,"Martinez, Nick",682634,607259,,foul,,,,,1,Foul,R,R,R,CHC,CIN,S,,,3,2,2024,-1.24,1.0,-0.58,3.73,,,,2,8,Bot,,,,,,,5.1307126483891,-134.86683080182087,-2.592270021865036,-16.216705587167027,26.302492398887512,-19.4907247035342,3.66,1.68,235,73.0,40,92.5,2242,5.9,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.58,,,,,,,,56,6,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,202,0.006,0.0,67.9,6.4,,0.0,88.0,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,1.63,1.24,1.24,52.5,-5.517045047000376,33.073704390327975,19.845374383626112,35.78276750786845,16.359531761464517
FC,2024-09-27,89.1,-1.62,6.07,"Martinez, Nick",682634,607259,,called_strike,,,,,14,Called Strike,R,R,R,CHC,CIN,S,,,3,1,2024,-0.01,1.19,0.01,1.62,,,,2,8,Bot,,,,,,,3.986952519732302,-129.77540222302306,-7.4618925105059635,-0.8202701370810244,22.646612913849097,-17.467904386841813,3.88,1.86,,,,89.3,2359,6.0,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.53,,,,,,,,56,5,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,201,0.006,-0.089,,,,0.089,,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,1.64,0.01,0.01,51.5,,,,,
SI,2024-09-27,92.2,-1.45,6.16,"Martinez, Nick",682634,607259,,ball,,,,,14,Ball,R,R,R,CHC,CIN,B,,,2,1,2024,-1.07,0.99,1.35,2.89,,,,2,8,Bot,,,,,,,9.351739768969004,-134.12773493674842,-4.697771085266504,-14.748473447681274,23.877810441907812,-19.38887432774056,3.93,1.94,,,,92.2,2249,5.9,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.6,,,,,,,,56,4,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,204,0.006,0.112,,,,-0.112,,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,1.66,1.07,1.07,58.7,,,,,
CU,2024-09-27,79.4,-1.16,6.24,"Martinez, Nick",682634,607259,,ball,,,,,14,Ball,R,R,R,CHC,CIN,B,,,1,1,2024,-0.01,-1.37,0.58,1.38,,,,2,8,Bot,,,,,,,3.80472374555086,-115.57731774808876,-1.2930025613526244,-0.8004496938217278,21.803368874238583,-44.45486743446416,3.88,1.74,,,,79.0,2524,6.0,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.49,,,,,,,,56,3,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,10,0.006,0.058,,,,-0.058,,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,4.99,0.01,0.01,66.1,,,,,
CH,2024-09-27,80.3,-1.32,6.28,"Martinez, Nick",682634,607259,,ball,,,,,14,Ball,R,R,R,CHC,CIN,B,,,0,1,2024,-0.91,0.29,0.79,0.25,,,,2,8,Bot,,,,,,,6.326059719258905,-116.66263146516116,-7.190150126387314,-9.41172324941637,19.931952448738183,-28.476101365537545,3.91,1.84,,,,80.1,1987,6.0,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.5,,,,,,,,56,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,248,0.006,0.029,,,,-0.029,,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,3.23,0.91,0.91,59.2,,,,,
CU,2024-09-27,79.8,-1.33,6.25,"Martinez, Nick",682634,607259,,called_strike,,,,,6,Called Strike,R,R,R,CHC,CIN,S,,,0,0,2024,0.15,-1.34,0.32,3.11,,,,2,8,Bot,,,,,,,3.3010505690343868,-116.04811160524582,2.367514945143862,0.7225708368111111,23.104449154245263,-44.959298345381065,3.9,1.81,,,,78.9,2530,5.8,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.67,,,,,,,,56,1,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,18,0.006,-0.041,,,,0.041,,1,1,0.8426001461548085,0.8426001461548085,33,21,34,22,3,2,7,2,,2,4.95,-0.15,-0.15,61.0,,,,,
SI,2024-09-27,91.7,-1.37,6.25,"Martinez, Nick",665804,607259,strikeout,swinging_strike,,,,,12,Miguel Amaya strikes out swinging.,R,R,R,CHC,CIN,S,2,,0,2,2024,-0.99,0.9,0.31,3.85,,,,1,8,Bot,,,,,,,6.321488467024685,-133.62777514887566,-2.256963469588949,-13.14046692948044,24.166561011525346,-21.006143640229613,3.41,1.62,,,,91.7,2152,5.9,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.63,,0.0,0.0,1,0,0,,55,4,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,200,-0.004,-0.162,65.0,5.6,,0.162,,1,1,0.8530973074599288,0.8530973074599288,33,25,34,25,3,2,7,2,,1,1.77,0.99,0.99,56.6,-5.619784352630484,33.76080907108692,21.887562669464568,40.20366639730594,6.005227781393465
FF,2024-09-27,91.5,-1.33,6.32,"Martinez, Nick",665804,607259,,foul,,,,,12,Foul,R,R,R,CHC,CIN,S,,,0,2,2024,-0.45,1.41,0.55,3.82,,,,1,8,Bot,,,,,,,5.664703074340522,-133.2644242862965,-3.5396441690441565,-6.496883830355155,24.2385264166516,-14.653335819507518,3.41,1.62,243,74.5,33,91.4,2321,5.8,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.69,,,,,,,,55,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,198,0.005,0.0,71.0,6.6,,0.0,88.0,1,1,0.8530973074599288,0.8530973074599288,33,25,34,25,3,2,7,2,,1,1.27,0.45,0.45,58.7,2.038764887791096,6.149805262326911,19.676045006146342,42.756269027210806,19.875758076202523
CU,2024-09-27,79.2,-1.2,6.29,"Martinez, Nick",665804,607259,,foul,,,,,2,Foul,R,R,R,CHC,CIN,S,,,0,1,2024,-0.03,-1.06,0.26,3.08,,,,1,8,Bot,,,,,,,3.212430341280665,-115.42458301576526,1.6595096842465415,-0.8276043189161305,19.957378240607948,-42.19234616406668,3.41,1.62,176,65.4,26,78.9,2686,5.8,746822,663886,668715,663697,669289,682829,666181,670770,641584,54.68,,,,,,,,55,2,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,12,0.005,-0.057,69.0,6.0,,0.057,88.0,1,1,0.8530973074599288,0.8530973074599288,33,25,34,25,3,2,7,2,,1,4.66,0.03,0.03,62.4,-11.323187742578597,22.42125627009424,30.613283966896965,39.85185034031141,8.571193638916082
