pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2024-09-27,86.4,2.26,6.26,"Rodón, Carlos",663698,607074,field_out,hit_into_play,,,,,8,"Joey Bart grounds out, shortstop Anthony Volpe to first baseman Oswaldo Cabrera.",R,R,L,NYY,PIT,X,6,ground_ball,1,2,2024,-0.68,-0.34,-0.22,1.85,,,,0,6,Top,111.66,151.6,,,,,-4.502057368319293,-125.74787571051084,-3.5581307807477995,-6.231170245164732,26.372489250463744,-35.20230885525325,3.4,1.51,5,61.5,-18,85.8,2670,6.0,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.5,0.054,0.05,0.0,1,0,0,2,46,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,268,0.033,-0.186,66.2,7.0,0.066,0.186,88.0,0,0,0.4999999999999983,0.5000000000000018,31,27,32,28,3,2,6,1,10,2,3.4,-0.68,0.68,45.5,-5.675726757584421,10.009991818976738,44.79955629098054,31.832089785644264,27.52119770932881
FF,2024-09-27,95.2,1.71,6.54,"Rodón, Carlos",663698,607074,,called_strike,,,,,1,Called Strike,R,R,L,NYY,PIT,S,,,1,1,2024,0.89,1.51,-0.65,3.1,,,,0,6,Top,,,,,,,-8.15243649301198,-138.19411699420738,-6.707984504193515,13.291382875411747,32.58898223161641,-11.460408315807271,3.36,1.51,,,,94.5,2323,6.1,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.38,,,,,,,,46,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,143,0.0,-0.056,,,,0.056,,0,0,0.4999999999999983,0.5000000000000018,31,27,32,28,3,2,6,1,10,2,1.03,0.89,-0.89,48.7,,,,,
SL,2024-09-27,85.8,2.31,6.29,"Rodón, Carlos",663698,607074,,called_strike,,,,,6,Called Strike,R,R,L,NYY,PIT,S,,,1,0,2024,-0.87,-0.34,0.32,2.24,,,,0,6,Top,,,,,,,-2.931328813077532,-124.89053337217416,-2.569523546884085,-8.446449279203046,27.06787196546513,-35.42653332883128,3.4,1.51,,,,85.2,2670,6.0,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.46,,,,,,,,46,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,301,0.0,-0.049,,,,0.049,,0,0,0.4999999999999983,0.5000000000000018,31,27,32,28,3,2,6,1,10,2,3.46,-0.87,0.87,40.3,,,,,
FF,2024-09-27,95.8,1.73,6.58,"Rodón, Carlos",663698,607074,,ball,,,,,11,Ball,R,R,L,NYY,PIT,B,,,0,0,2024,0.85,1.37,-0.89,4.24,,,,0,6,Top,,,,,,,-8.779419357167649,-139.1637788878794,-3.589306033688496,13.089011131308824,34.48600946493669,-13.88466987993468,3.36,1.51,,,,94.8,2362,6.0,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.46,,,,,,,,46,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,142,0.0,0.038,,,,-0.038,,0,0,0.4999999999999983,0.5000000000000018,31,27,32,28,3,2,6,1,10,2,1.15,0.85,-0.85,47.1,,,,,
FF,2024-09-27,96.1,1.92,6.46,"Rodón, Carlos",668804,607074,home_run,hit_into_play,,,,,3,Bryan Reynolds homers (23) on a fly ball to right center field.,R,R,L,NYY,PIT,X,,fly_ball,1,2,2024,0.94,1.39,0.28,2.85,,,,0,6,Top,195.9,62.68,,,,,-6.438149789824943,-139.64399970363792,-7.107086615397076,13.75509193100314,30.98301201860483,-12.508113703682804,3.03,1.52,379,105.3,23,95.6,2427,6.0,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.47,0.82,1.442,2.0,1,0,3,6,45,4,4-Seam Fastball,2,1,1,2,2,2,2,2,Standard,Standard,146,-0.16,1.182,74.7,6.3,2.67,-1.182,105.3,1,-1,0.6596115937381601,0.3403884062618398,31,29,32,29,3,2,6,1,10,1,1.08,0.94,-0.94,45.8,5.958475910539055,16.7198642313642,32.837084657002094,41.194028559193605,19.959007893255823
FF,2024-09-27,96.1,1.91,6.5,"Rodón, Carlos",668804,607074,,foul,,,,,12,Foul,R,R,L,NYY,PIT,S,,,1,1,2024,0.87,1.56,1.01,2.55,,,,0,6,Top,,,,,,,-4.325856412838059,-139.6750850303307,-8.332791456039837,12.392294995350408,32.62234570882198,-10.11475861287145,3.03,1.52,241,76.8,30,95.5,2305,6.1,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.43,,,,,,,,45,3,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,147,0.007,-0.056,70.7,6.9,,0.056,88.0,1,-1,0.6596115937381601,0.3403884062618398,31,29,32,29,3,2,6,1,10,1,0.93,0.87,-0.87,46.1,2.597547946823992,20.55095768409745,31.2797921031822,50.65475498733976,13.947872553819211
CH,2024-09-27,83.9,2.12,6.31,"Rodón, Carlos",668804,607074,,ball,,,,,14,Ball,R,R,L,NYY,PIT,B,,,0,1,2024,0.97,0.2,1.54,1.26,,,,0,6,Top,,,,,,,-3.2397487810616026,-122.15088260248656,-5.708470452175029,10.30509050914222,23.37448364162544,-29.233529650976788,3.47,1.59,,,,83.9,1433,6.2,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.29,,,,,,,,45,2,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,137,0.007,0.025,,,,-0.025,,1,-1,0.6596115937381601,0.3403884062618398,31,29,32,29,3,2,6,1,10,1,3.02,0.97,-0.97,43.3,,,,,
FF,2024-09-27,95.4,1.98,6.46,"Rodón, Carlos",668804,607074,,foul,,,,,5,Foul,R,R,L,NYY,PIT,S,,,0,0,2024,0.81,1.52,0.24,2.02,,,,0,6,Top,,,,,,,-6.351744737234695,-138.40017572437182,-9.356647042918162,11.93226026819133,33.36627178640097,-10.667680872479602,3.03,1.52,230,83.3,52,94.4,2395,6.1,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.43,,,,,,,,45,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,144,0.007,-0.037,77.0,7.4,,0.037,88.0,1,-1,0.6596115937381601,0.3403884062618398,31,29,32,29,3,2,6,1,10,1,1.02,0.81,-0.81,47.5,7.24065895455225,10.725931785260544,39.6371510180384,39.968863597918656,21.439501092595467
SL,2024-09-27,86.1,2.43,6.31,"Rodón, Carlos",693304,607074,home_run,hit_into_play,,,,,5,Nick Gonzales homers (6) on a fly ball to left center field.,R,R,L,NYY,PIT,X,,fly_ball,0,1,2024,-0.42,0.47,-0.01,2.47,,,,0,6,Top,55.77,77.02,,,,,-4.890500350081863,-125.31900924718008,-3.8312577482875927,-3.527867657827441,23.99648808965192,-26.686900562471347,3.36,1.51,370,99.7,28,85.8,2631,6.0,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.53,0.523,0.948,2.0,1,0,3,6,44,2,Slider,2,0,0,2,1,2,1,2,Standard,Standard,286,-0.112,1.151,70.9,8.0,1.782,-1.151,99.7,2,-2,0.7788536681211153,0.2211463318788846,31,25,32,25,3,2,6,1,10,1,2.59,-0.42,0.42,40.7,12.970045063849026,-12.292978990220352,32.464881708999314,33.66360067650776,40.48117803119601
CH,2024-09-27,84.4,2.24,6.34,"Rodón, Carlos",693304,607074,,foul,,,,,14,Foul,R,R,L,NYY,PIT,S,,,0,0,2024,1.27,0.14,1.14,2.03,,,,0,6,Top,,,,,,,-5.060268248645543,-122.80072672688908,-3.958384770005052,13.85577986365464,23.034844601732267,-30.240420058373637,3.36,1.51,60,61.7,7,84.3,1550,6.1,745692,624431,665828,650402,665862,683011,691176,663757,657077,54.4,,,,,,,,44,1,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,132,0.01,-0.037,71.7,8.1,,0.037,88.0,2,-2,0.7788536681211153,0.2211463318788846,31,25,32,25,3,2,6,1,10,1,3.05,1.27,-1.27,44.3,13.88162602129128,-4.944986947545679,33.86246699194794,47.1571513871295,38.24101399330861
