pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-09-29,93.1,-2.1,5.45,"Rea, Colin",668901,607067,single,hit_into_play,,,,,7,Mark Vientos singles on a ground ball to pitcher Colin Rea.,R,R,R,MIL,NYM,X,1,ground_ball,0,0,2024,-1.29,0.64,-0.43,1.97,,,,2,6,Top,128.93,182.43,,,,,7.194384743803452,-135.3825417251728,-4.59676052925575,-17.436866763474086,30.138041955249623,-23.443091817102427,3.63,1.7,13,103.9,-7,94.0,2087,6.9,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.6,0.317,0.279,0.9,1,1,0,2,49,1,Sinker,0,5,5,0,5,0,5,0,Strategic,Standard,217,-0.009,0.333,74.7,7.6,0.326,-0.333,103.9,-5,5,0.0546899481105449,0.945310051889455,33,24,34,25,4,3,5,1,,1,1.99,1.29,1.29,32.2,6.933573908239397,20.439899647587467,36.726252096457294,34.248608312618536,16.757741128352855
SI,2024-09-29,91.9,-1.99,5.46,"Rea, Colin",607043,607067,strikeout,called_strike,,,,,6,Brandon Nimmo called out on strikes.,R,L,R,MIL,NYM,S,2,,3,2,2024,-1.22,0.85,0.76,2.99,,,,1,6,Top,,,,,,,9.733449675824806,-133.53312289071297,-2.258043971533865,-16.691170988725183,29.107935636826035,-21.65855063129789,3.52,1.93,,,,93.1,1995,7.1,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.39,,0.0,0.0,1,0,0,,48,7,Sinker,0,5,5,0,5,0,5,0,Strategic,Standard,213,-0.004,-0.332,,,,0.332,,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,1.85,1.22,-1.22,35.8,,,,,
FF,2024-09-29,92.9,-2.13,5.49,"Rea, Colin",607043,607067,,foul,,,,,4,Foul,R,L,R,MIL,NYM,S,,,3,2,2024,-0.48,1.2,-0.69,2.48,,,,1,6,Top,,,,,,,4.799535494448656,-135.1723299566967,-4.601900302981705,-6.979623557610185,29.24693865107085,-16.649214394368876,3.48,1.69,233,74.3,31,94.1,2127,7.0,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.5,,,,,,,,48,6,4-Seam Fastball,0,5,5,0,5,0,5,0,Strategic,Standard,217,-0.007,0.0,67.8,6.3,,0.0,88.0,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,1.44,0.48,-0.48,37.2,-15.138209810088927,30.86599253432015,27.12267710878297,46.959409312752136,9.153815199986962
FS,2024-09-29,88.6,-2.22,5.49,"Rea, Colin",607043,607067,,ball,,,,,13,Ball,R,L,R,MIL,NYM,B,,,2,2,2024,-1.21,0.55,-1.06,0.71,,,,1,6,Top,,,,,,,5.380539273323301,-128.71188335687992,-6.734015346348212,-14.584508129389707,28.798167168658185,-24.824661163950516,3.61,1.87,,,,88.8,1286,6.7,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.81,,,,,,,,48,5,Split-Finger,0,5,5,0,5,0,5,0,Strategic,Standard,246,-0.007,0.108,,,,-0.108,,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,2.38,1.21,-1.21,38.7,,,,,
CU,2024-09-29,81.0,-2.12,5.62,"Rea, Colin",607043,607067,,ball,,,,,13,Ball,R,L,R,MIL,NYM,B,,,1,2,2024,0.97,-0.51,-1.04,2.41,,,,1,6,Top,,,,,,,0.5453138841401725,-117.91418984920392,0.4763331259694841,8.865095940463865,24.06353702254102,-37.2343282269105,3.58,1.93,,,,81.3,2161,6.6,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.87,,,,,,,,48,4,Curveball,0,5,5,0,5,0,5,0,Strategic,Standard,60,-0.007,0.043,,,,-0.043,,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,4.0,-0.97,0.97,36.7,,,,,
SI,2024-09-29,91.6,-2.06,5.5,"Rea, Colin",607043,607067,,foul,,,,,3,Foul,R,L,R,MIL,NYM,S,,,1,1,2024,-0.77,0.75,0.41,3.06,,,,1,6,Top,,,,,,,7.991792049104956,-133.24933130097145,-1.9271738571661965,-10.954416445500817,29.030518086660425,-23.07600967415385,3.48,1.69,153,69.3,25,92.5,2053,6.9,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.63,,,,,,,,48,3,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,210,-0.007,-0.061,77.9,6.8,,0.061,88.0,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,1.97,0.77,-0.77,38.5,3.874581577239984,5.352993279207858,25.652637537071996,34.38873844425043,28.604720054438687
FF,2024-09-29,92.8,-2.24,5.47,"Rea, Colin",607043,607067,,ball,,,,,13,Ball,R,L,R,MIL,NYM,B,,,0,1,2024,-0.52,1.21,-1.32,2.4,,,,1,6,Top,,,,,,,3.532318537568871,-135.09543849470745,-4.765825791161614,-7.1231066194222885,29.29039100014596,-16.512777414578142,3.61,1.87,,,,93.7,2023,6.8,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.73,,,,,,,,48,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,223,-0.007,0.024,,,,-0.024,,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,1.43,0.52,-0.52,30.2,,,,,
FC,2024-09-29,88.0,-2.24,5.57,"Rea, Colin",607043,607067,,foul,,,,,13,Foul,R,L,R,MIL,NYM,S,,,0,0,2024,0.11,0.76,-0.89,2.0,,,,1,6,Top,,,,,,,3.093952414344726,-128.23331977674863,-4.230286983950442,0.6004644711540867,24.19352135992748,-23.094523388514027,3.48,1.69,190,70.3,24,89.1,2015,6.7,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.79,,,,,,,,48,1,Cutter,0,5,5,0,5,0,5,0,Standard,Standard,174,-0.007,-0.037,66.8,8.1,,0.037,88.0,-5,5,0.0515683855823198,0.9484316144176802,33,31,34,31,4,3,5,1,,1,2.15,-0.11,0.11,37.8,8.25398902178626,-11.797537522761186,27.676488943651343,50.19505990744038,35.15337536515405
ST,2024-09-29,82.4,-2.29,5.46,"Rea, Colin",578428,607067,field_out,hit_into_play,,,,,4,Jose Iglesias flies out to left fielder Isaac Collins.,R,R,R,MIL,NYM,X,7,fly_ball,1,1,2024,0.97,0.19,-0.32,2.13,,,,0,6,Top,41.95,122.56,,,,,2.587040324377676,-119.88854011971526,-1.3633530975063406,8.768252667820382,25.78868574289837,-30.302332194859964,3.23,1.46,279,84.8,48,82.5,2215,6.6,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.87,0.006,0.008,0.0,1,0,0,3,47,3,Sweeper,0,5,5,0,5,0,5,0,Standard,Standard,47,-0.003,-0.243,74.3,7.2,0.012,0.243,88.0,-5,5,0.0475039121868011,0.9524960878131988,33,34,34,34,4,3,5,1,,1,3.2,-0.97,-0.97,33.6,15.229227934395787,-22.7971878636478,34.158130226973505,31.11383700526926,41.4501312826937
FF,2024-09-29,92.9,-2.19,5.47,"Rea, Colin",578428,607067,,swinging_strike,,,,,5,Swinging Strike,R,R,R,MIL,NYM,S,,,1,0,2024,-0.5,1.24,0.16,2.33,,,,0,6,Top,,,,,,,7.205896200978034,-135.14914747191955,-5.048811292726603,-7.691844999796933,28.8772284857202,-15.99164129848734,3.23,1.46,,,,93.9,2129,6.9,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.63,,,,,,,,47,2,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,219,-0.006,-0.049,72.7,7.2,,0.049,,-5,5,0.0475039121868011,0.9524960878131988,33,34,34,34,4,3,5,1,,1,1.39,0.5,0.5,34.4,3.369799890768737,-3.7985188347666754,33.564053522150736,38.26169627831083,20.6792596305144
